Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Dog Man,"$67,019,170","$54,968,170",82%,"$12,051,000",18%
2,Den of Thieves: Pantera,"$53,990,455","$35,624,094",66%,"$18,366,361",34%
3,One of Them Days,"$39,652,167","$39,536,751",99.70%,"$115,416",0.30%
4,Flight Risk,"$34,656,529","$25,408,372",73.30%,"$9,248,157",26.70%
5,The Wizard of the Emerald City,"$33,627,422",-,-,"$33,627,422",100%
6,Wolf Man,"$32,970,745","$20,595,820",62.50%,"$12,374,925",37.50%
7,Companion,"$26,900,844","$15,800,844",58.70%,"$11,100,000",41.30%
8,Interstellar 2025 Re-release,"$15,300,000",-,-,"$15,300,000",100%
9,Mobile Suit Gundam GQuuuuuuX: Beginning,"$14,899,576",-,-,"$14,899,576",100%
10,Hitman 2,"$12,736,682",-,-,"$12,736,682",100%
11,366 Nichi,"$11,065,435",-,-,"$11,065,435",100%
12,Dark Nuns,"$9,611,606","$54,923",0.60%,"$9,556,683",99.40%
13,How to Make a Killing,"$9,218,715",-,-,"$9,218,715",100%
14,Io sono la fine del mondo,"$9,108,388",-,-,"$9,108,388",100%
15,Heart Eyes,"$9,045,241","$9,045,241",100%,-,-
16,Presence,"$7,721,505","$6,649,784",86.10%,"$1,071,721",13.90%
17,The 4 Rascals,"$7,658,048",-,-,"$7,658,048",100%
18,Love Hurts,"$7,312,765","$6,298,765",86.10%,"$1,014,000",13.90%
19,Die drei ??? und der Karpatenhund,"$7,300,000",-,-,"$7,300,000",100%
20,Colorful Stage! The Movie: A Miku Who Can't Sing,"$5,748,177",-,-,"$5,748,177",100%
21,Kleks i wynalazek Filipa Golarza,"$4,826,192",-,-,"$4,826,192",100%
22,The Solitary Gourmet,"$4,608,340",-,-,"$4,608,340",100%
23,Brave the Dark,"$4,361,442","$4,361,442",100%,-,-
24,Mesa de Regalos,"$4,271,261",-,-,"$4,271,261",100%
25,Under Ninja,"$4,128,584",-,-,"$4,128,584",100%
26,10 giorni con i suoi,"$3,167,487",-,-,"$3,167,487",100%
27,Creation of the Gods II: Demon Force,"$3,070,650","$1,739,326",56.60%,"$1,331,324",43.40%
28,The Blunder,"$3,069,731",-,-,"$3,069,731",100%
29,Kardes Takimi 2,"$3,058,347",-,-,"$3,058,347",100%
30,Game Changer,"$2,849,061","$2,100,000",73.70%,"$749,061",26.30%
31,Becoming Led Zeppelin,"$2,829,957","$2,578,510",91.10%,"$251,447",8.90%
32,Muromachi Burai,"$2,342,595",-,-,"$2,342,595",100%
33,Quarantine,"$2,331,214",-,-,"$2,331,214",100%
34,Secret: Untold Melody,"$2,312,336",-,-,"$2,312,336",100%
35,Kutsal Damacana 5: Zombi,"$2,303,679",-,-,"$2,303,679",100%
36,Pororo: Underwater adventure,"$2,300,618",-,-,"$2,300,618",100%
37,Dalej Jazda,"$2,130,720",-,-,"$2,130,720",100%
38,The Quiet Son,"$1,963,783",-,-,"$1,963,783",100%
39,Vasiliy,"$1,826,465",-,-,"$1,826,465",100%
40,Rekhachithram,"$1,727,538",-,-,"$1,727,538",100%
41,Postuchis v moyu Tver,"$1,691,629",-,-,"$1,691,629",100%
42,Money Kisses,"$1,577,108",-,-,"$1,577,108",100%
43,"Isho, Kokai.","$1,540,590",-,-,"$1,540,590",100%
44,The Rose of Versailles,"$1,489,577",-,-,"$1,489,577",100%
45,Zloy gorod,"$1,435,536",-,-,"$1,435,536",100%
46,Seven 2025 Re-release,"$1,399,426","$915,000",65.40%,"$460,324",32.90%
47,Screw Mickiewicz,"$1,361,045",-,-,"$1,361,045",100%
48,The Damned,"$1,352,553","$1,342,796",99.30%,"$9,757",0.70%
49,Dove osano le cicogne,"$1,279,401",-,-,"$1,279,401",100%
50,Green and Gold,"$1,272,599","$1,272,599",100%,-,-
51,Cernak,"$1,259,211",-,-,"$1,259,211",100%
52,Hard Truths,"$1,215,170","$800,495",65.90%,"$414,675",34.10%
53,Valiant One,"$1,178,397","$1,178,397",100%,-,-
54,Na plech,"$1,169,128",-,-,"$1,169,128",100%
55,The Southern Chronicles,"$1,131,994",-,-,"$1,131,994",100%
56,Hit N Fun,"$1,094,264",-,-,"$1,094,264",100%
57,Forbidden Fairytale,"$1,065,081",-,-,"$1,065,081",100%
58,IU Concert: The Winning,"$1,059,379",-,-,"$1,059,379",100%
59,Night of the Zoopocalypse,"$989,484",-,-,"$989,484",100%
60,Six jours,"$950,888",-,-,"$950,888",100%
61,Detective Chinatown 1900,"$943,308",-,-,"$943,308",100%
62,My Best Bet,"$926,937",-,-,"$926,937",100%
63,Tur Rehberi,"$866,780",-,-,"$866,780",100%
64,Aslan Hürkus 4: Hürjet Oyunda,"$804,363",-,-,"$804,363",100%
65,La fille d'un grand amour,"$744,879",-,-,"$744,879",100%
66,Personne n'y comprend rien,"$715,673",-,-,"$715,673",100%
67,Winter in Sokcho,"$708,936",-,-,"$708,936",100%
68,Les Misérables: The Staged Concert 2025 Re-release,"$681,027",-,-,"$681,027",100%
69,Deva,"$681,000",-,-,"$681,000",100%
70,Sankrathiki Vasthunam,"$651,053",-,-,"$651,053",100%
71,La pie voleuse,"$627,938",-,-,"$627,938",100%
72,Tu Sangre,"$594,254",-,-,"$594,254",100%
73,Dominic and the Ladies' Purse,"$551,524",-,-,"$551,524",100%
74,The Fourth Wall,"$534,177",-,-,"$534,177",100%
75,Mala influencia,"$509,321",-,-,"$509,321",100%
76,Mikaela,"$490,809",-,-,"$490,809",100%
77,Zlatovláska,"$478,248",-,-,"$478,248",100%
78,El Dashash,"$476,836",-,-,"$476,836",100%
79,Jane Austen Wrecked My Life,"$468,868",-,-,"$468,868",100%
80,Maldoror,"$437,474",-,-,"$437,474",100%
81,Identity,"$435,906",-,-,"$435,906",100%
82,Friend Zone,"$435,557",-,-,"$435,557",100%
83,Dogulu,"$429,578",-,-,"$429,578",100%
84,Véletlenül írtam egy könyvet,"$416,583",-,-,"$416,583",100%
85,Legends of the Condor Heroes: The Gallants,"$409,784",-,-,"$409,784",100%
86,Kundschafter des Friedens 2,"$396,267",-,-,"$396,267",100%
87,Parasite 2025 Re-release,"$356,727","$356,727",100%,-,-
88,Putin,"$346,245",-,-,"$346,245",100%
89,Pino Daniele - Nero a metà,"$342,355",-,-,"$342,355",100%
90,UFC Countdown: UFC 311 Countdown: Makhachev vs. Tsarukyan 2,"$334,988","$334,988",100%,-,-
91,Swiatloczula,"$334,386",-,-,"$334,386",100%
92,Queen of Mahjong,"$330,091",-,-,"$330,091",100%
